title;eng_title;id_index_num;fuss_index;language;written date;published_date;presented_date;pub_type;document_type;source_publication;source_vol;page_range;oo_series;oo_volnum;oo_fpage;oo_lpage;list_view_id_tag;label;calc_url
Méthode de déterminer la longitude des lieux par l'observation d'occultations des étoiles fixes par la lune;Method of determining the longitude of the observation site by observation of the occulations of fixed stars by the moon;115;638;French;1749;1749;1749;journal;article;Mémoires de l'académie des sciences de Berlin;3;178-179;2;30;49;50;E115;115;https://scholarlycommons.pacific.edu/euler-works/115
Mémoire sur la force des rames;Memoir on the force of oars;116;600;French;1747;1747;1747;journal;article;Mémoires de l'académie des sciences de Berlin;3;180-213;2;20;101;129;E116;116;https://scholarlycommons.pacific.edu/euler-works/116
Réflexions sur la dernière éclipse du Soliel du 25 julliet a. 1748;Reflections on the last eclipse of the sun from July 25, 1748;117;;French;1748;1748;1748;journal;article;Mémoires de l'académie des sciences de Berlin;3;250-273;2;30;51;72;E117;117;https://scholarlycommons.pacific.edu/euler-works/117
Sur la perfection des verres objectfs des lunettes;On the perfection of objective lenses of telescopes;118;714;French;1748;1748;1748;journal;article;Mémoires de l'académie des sciences de Berlin;3;274-296;3;6;1;21;E118;118;https://scholarlycommons.pacific.edu/euler-works/118
De vibratione chordarum exercitatio;On vibrations of excited chords;119;;Latin;1748;1748;1748;journal;article;Nova acta eruditorum;1749;512-527;2;10;50;62;E119;119;https://scholarlycommons.pacific.edu/euler-works/119
Recherches sur la question des inégalités du mouvement de Saturne et de Jupiter;Investigations on the question of the differences of the motion of Saturn and Jupiter;120;655;French;1747;1747;1747;Paris prize;article;Pièce qui ont remporté le prix de l'académie royale des sciences;1748;1-123;2;25;45;157;E120;120;https://scholarlycommons.pacific.edu/euler-works/120
Conjectura physica circa propagationem soni ac luminis una cum aliis dissertationibus analyticis De numeris amicabilibus De natura aequationum, ac De rectificatione ellipsis.;Physical conjectures on the propogation of sound and light with other dissertations: on amicable numbers, on natural equations, and on the rectification of ellipses;121;;Latin;;;;journal;article;Nova acta eruditorum;1756;439-446;;;;;E121;121;https://scholarlycommons.pacific.edu/euler-works/121
De productis ex infinitis factoribus ortis;On products created from infinite factors;122;122;Latin;1739;1739;1739;journal;article;Commentarii academiae scientiarum Petropolitanae;11;3-31;1;14;260;290;E122;122;https://scholarlycommons.pacific.edu/euler-works/122
De fractionibus continuis observationes;Observations on continued fractions;123;90;Latin;1739;1739;1739;journal;article;Commentarii academiae scientiarum Petropolitanae;11;32-81;1;14;291;349;E123;123;https://scholarlycommons.pacific.edu/euler-works/123
Determinatio caloris et frigoris graduum pro singulis terrae locis ac temporibus.;On the determination of the gradient of heat and cold at each point and time of a region;124;736;Latin;1739;1739;1739;journal;article;Commentarii academiae scientiarum Petropolitanae;11;82-99;3;10;;;E124;124;https://scholarlycommons.pacific.edu/euler-works/124
