title;eng_title;id_index_num;fuss_index;language;written date;published_date;presented_date;pub_type;document_type;source_publication;source_vol;page_range;oo_series;oo_volnum;oo_fpage;oo_lpage;list_view_id_tag;label;calc_url
Réflexions sur un problème de geométrie traité par quelques geométres et qui est néanmoins impossible;Reflections on a problem of geometry dealt with by several geometers, but which nevertheless is impossible;220;362;French;1754;1754;1754;journal;article;Mémoires de l'académie des sciences de Berlin;10;173-199;1;27;340;363;E220;220;https://scholarlycommons.pacific.edu/euler-works/220
Recherches physiques sur la diverse réfrangibilité des rayons de lumière;Research into the physics of the different refrangibilities of light rays;221;692;French;1754;1754;1754;journal;article;Mémoires de l'académie des sciences de Berlin;10;200-226;3;5;218;238;E220;221;https://scholarlycommons.pacific.edu/euler-works/221
Théorie plus complette des machines qui sont mises en mouvement par la réaction de l'eau;A more complete theory of machines which are put in motion by the reaction of water;222;580;French;1753;1753;1753;journal;article;Mémoires de l'académie des sciences de Berlin;10;227-295;2;15;157;218;E222;222;https://scholarlycommons.pacific.edu/euler-works/222
De la variation de la latitude des étoiles fixes et de l'obliquité de l'écliptique;On the variation of the latitude of fixed stars and the obliquity of the ecliptic;223;672;French;1755;1755;1755;journal;article;Mémoires de l'académie des sciences de Berlin;10;296-336;2;29;125;159;E223;223;https://scholarlycommons.pacific.edu/euler-works/223
Avertissement;Notice;224;;French;1756;1756;1756;journal;article;Mémoires de l'académie des sciences de Berlin;10;346;1;27;364;364;E224;224;https://scholarlycommons.pacific.edu/euler-works/224
Principes généraux de l'état d'équilibre des fluides;General principles concerning the state of equilibrium of fluids;225;562;French;1753;1753;1753;journal;article;Mémoires de l'académie des sciences de Berlin;11;217-273;2;12;2;53;E225;225;https://scholarlycommons.pacific.edu/euler-works/225
Principes généraux du mouvement des fluides;General principles concerning the motion of fluids;226;564;French;1755;1755;1755;journal;article;Mémoires de l'académie des sciences de Berlin;11;274-315;2;12;54;91;E226;226;https://scholarlycommons.pacific.edu/euler-works/226
Continuation des recherches sur la théorie du mouvement des fluides;Continuation of the research on the theory of the motion of fluids;227;565;French;1755;1755;1755;journal;article;Mémoires de l'académie des sciences de Berlin;11;316-361;2;12;92;132;E227;227;https://scholarlycommons.pacific.edu/euler-works/227
De numeris, qui sunt aggregata duorum quadratorum;On numbers which are the sum of two squares;228;59;Latin;1749;1749;1749;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;4;3-40;1;2;295;327;E228;228;https://scholarlycommons.pacific.edu/euler-works/228
De constructione aptissima molarum alatarum;On the construction of the best gears;229;587;Latin;1751;1751;1751;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;4;41-108;2;16;1;64;E229;229;https://scholarlycommons.pacific.edu/euler-works/229
Elementa doctrinae solidorum;Elements of the doctrine of solids;230;318;Latin;1750;1750;1750;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;4;109-140;1;26;71;93;E230;230;https://scholarlycommons.pacific.edu/euler-works/230
Demonstratio nonnullarum insignium proprieatatum, quibus solida hedris planis inclusa sunt praedita;Proof of some of the properties of solid bodies enclosed by planes;231;320;Latin;1751;1751;1751;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;4;140-160;1;26;94;108;E231;231;https://scholarlycommons.pacific.edu/euler-works/231
De motu corporum coelestium a viribus quibuscunque perturbato;On the movement of celestial bodies perturbed by any number of forces;232;608;Latin;1750;1750;1750;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;4;161-196;2;25;175;209;E232;232;https://scholarlycommons.pacific.edu/euler-works/232
Recherches plus exactes sur l'effet des moulins à vent;More accurate research into the effect of windmills;233;586;French;1756;1756;1756;journal;article;Mémoires de l'académie des sciences de Berlin;12;165-234;2;16;65;125;E233;233;https://scholarlycommons.pacific.edu/euler-works/233
Expériences pour déterminer la réfraction de toutes sortes de liqueurs transparentes;Experiments to determine the refraction of all kinds of transparent liquors;234;697;French;1757;1757;1757;journal;article;Mémoires de l'académie des sciences de Berlin;12;235-266;3;5;239;264;E234;234;https://scholarlycommons.pacific.edu/euler-works/234
Sur l'action des scies;On the action of saws;235;582;French;1754;1754;1754;journal;article;Mémoires de l'académie des sciences de Berlin;12;267-291;2;17;66;88;E235;235;https://scholarlycommons.pacific.edu/euler-works/235
Exposition de quelques paradoxes dans le calcul intégral;Explanation of some paradoxes in integral calculus;236;278;French;1754;1754;1754;journal;article;Mémoires de l'académie des sciences de Berlin;12;300-321;1;22;214;236;E236;236;https://scholarlycommons.pacific.edu/euler-works/236
Recherches sur la déclinaison de l'aiguille aimantée;Research concerning the declination of the magnetized needle;237;740;French;1757;1757;1757;journal;article;Mémoires de l'académie des sciences de Berlin;13;175-251;3;10;;;E237;237;https://scholarlycommons.pacific.edu/euler-works/237
Sur la force des colonnes;Concerning the strength of columns;238;588;French;1757;1757;1757;journal;article;Mémoires de l'académie des sciences de Berlin;13;252-282;2;17;89;118;E238;238;https://scholarlycommons.pacific.edu/euler-works/238
Règles générales pour la construction des télescopes et des microscopes, de quelque nombre de verres qu'ils soient composés;General rules for the construction of telescopes and microscopes, composed of some general number of lenses;239;722;French;1756;1756;1756;journal;article;Mémoires de l'académie des sciences de Berlin;13;283-322;3;6;44;73;E239;239;https://scholarlycommons.pacific.edu/euler-works/239
Recherches sur les lunettes à trois verres qui représentent les objets renversés;Research concerning glasses with three lenses which represent inverted objects;240;706;French;1756;1756;1756;journal;article;Mémoires de l'académie des sciences de Berlin;13;323-372;3;6;74;114;E240;240;https://scholarlycommons.pacific.edu/euler-works/240
Demonstratio theorematis Fermatiani omnem numerum primum formae 4<em>n</em>+1 esse summam duorum quadratorum;Proof of a theorem of Fermat that every prime number of the form 4<em>n</em>+1 is the sum of two squares;241;60;Latin;1750;1750;1750;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;5;3-13;1;2;328;337;E241;241;https://scholarlycommons.pacific.edu/euler-works/241
Demonstratio theorematis Fermatiani omnem numerum sive integrum sive fractum esse summam quatuor pauciorumve quadratorum;Proof of a theorem of Fermat that every number whether whole or fraction is the sum of four or fewer squares;242;;Latin;1751;1751;1751;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;5;13-58;1;2;338;372;E242;242;https://scholarlycommons.pacific.edu/euler-works/242
Observatio de summis divisorum;An observation on the sums of divisors;243;17;Latin;1751;1751;1751;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;5;59-74;1;2;373;389;E243;243;https://scholarlycommons.pacific.edu/euler-works/243
Demonstratio theorematis circa ordinem in summis divisorum observatum;A demonstration of a theorem on the order observed in the sums of divisors;244;18;Latin;1760;1760;1760;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;5;75-83;1;2;390;398;E244;244;https://scholarlycommons.pacific.edu/euler-works/244
De methodo Diophanteae analoga in analysi infinitorum;On a method analogous to that of Diophantus in the analysis of the infinites;245;80;Latin;1751;1751;1751;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;5;84-144;1;22;237;294;E245;245;https://scholarlycommons.pacific.edu/euler-works/245
Subsidium calculi sinuum;A contribution to the calculations of sines;246;329;Latin;1752;1752;1752;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;5;164-204;1;14;542;584;E246;246;https://scholarlycommons.pacific.edu/euler-works/246
De seriebus divergentibus;On divergent series;247;125;Latin;1746;1746;1746;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;5;205-237;1;14;585;617;E247;247;https://scholarlycommons.pacific.edu/euler-works/247
De cochlea Archimedis;On the screw of Archimedes;248;581;Latin;1751;1751;1751;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;5;259-298;2;16;126;164;E248;248;https://scholarlycommons.pacific.edu/euler-works/248
De aptissima figura rotarum dentibus tribuenda;On finding the best shape for gear teeth;249;560;Latin;1751;1751;1751;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;5;299-316;2;17;119;135;E249;249;https://scholarlycommons.pacific.edu/euler-works/249
Methodus inveniendi infinitas curvas isoperimetras aliave communi proprietate praeditas;A method for finding infinitely many isoperimetric curves predicated with a common property;250;385;Latin;1752;1752;1752;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;3-36;1;25;98;122;E250;250;https://scholarlycommons.pacific.edu/euler-works/250
De integratione aequationis differentialis (<em>m dx</em>)/√(1–<em>x</em><sup>4</sup>) = (<em>n dy</em>)/√(1–<em>y</em><sup>4</sup>);On the integration of the differential equations (<em>m dx</em>)/√(1–<em>x</em><sup>4</sup>) = (<em>n dy</em>)/√(1–<em>y</em><sup>4</sup>);251;269;Latin;1751;1751;1751;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;37-57;1;20;58;79;E251;251;https://scholarlycommons.pacific.edu/euler-works/251
Observationes de comparatione arcuum curvarum irrectificibilium;Observations on the comparison of arcs of irrectifiable curves;252;423;Latin;1753;1753;1753;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;58-84;1;20;80;107;E252;252;https://scholarlycommons.pacific.edu/euler-works/252
De problemativus indeterminatis, quae videntur plus quam determinata;On indeterminate problems which appear to be quite determinate;253;55;Latin;1752;1752;1752;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;85-114;1;2;399;427;E253;253;https://scholarlycommons.pacific.edu/euler-works/253
De expressione integralium per factores;On the expression of integrals as factors;254;248;Latin;1753;1753;1753;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;115-154;1;17;233;267;E254;254;https://scholarlycommons.pacific.edu/euler-works/254
Solutio generalis quorundam problematum Diophanteorum, quae vulgo nonnisi solutiones speciales admittere videntur;General solution of certain Diophantine problems, which are ordinarily thought to admit only special solutions;255;73;Latin;1754;1754;1754;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;155-184;1;2;428;458;E255;255;https://scholarlycommons.pacific.edu/euler-works/255
Specimen de usu observationum in mathesi pura;Example of the use of observation in pure mathematics;256;4;Latin;1754;1754;1754;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;185-230;1;2;459;492;E256;256;https://scholarlycommons.pacific.edu/euler-works/256
De frictione corporum rotantium;On friction of rotating bodies;257;555;Latin;1753;1753;1753;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;233-270;2;8;146;177;E257;257;https://scholarlycommons.pacific.edu/euler-works/257
Principia motus fluidorum;Principles of the motion of fluids;258;566;Latin;1753;1753;1753;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;271-311;2;12;133;168;E258;258;https://scholarlycommons.pacific.edu/euler-works/258
De motu et reactione aquae per tubos mobiles transfluentis;On the motion and reaction of water flowing through moving tubes;259;573;Latin;1761;1761;1761;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;312-337;2;15;80;104;E259;259;https://scholarlycommons.pacific.edu/euler-works/259
Tentamen theoriae de frictione fluidorum;Attempt at a theory of the friction of fluids;260;575;Latin;1751;1751;1751;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;6;338-388;2;12;169;214;E260;260;https://scholarlycommons.pacific.edu/euler-works/260
"Specimen alterum methodi novae quantitates transcendentes inter se comparandi; de comparatione arcuum ellipsis";"Example of another new methods for comparing transcendental quantities; on the comparison of the arcs of ellipses";261;352;Latin;1755;1755;1755;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;7;3-48;1;20;153;200;E261;261;https://scholarlycommons.pacific.edu/euler-works/261
Theoremata circa residua ex divisione potestatum relicta;Theorems about the remainders left by division by powers;262;8;Latin;1755;1755;1755;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;7;49-82;1;2;493;518;E262;262;https://scholarlycommons.pacific.edu/euler-works/262
Specimen novae methodi curvarum quadraturas et rectificationes aliasque quantitates transcendentes inter se comparandi;An example of a new method for the quadrature and rectification of curves and of comparing other quantities which are transcendentally related to each other;263;424;Latin;1753;1753;1753;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;7;83-127;1;20;108;152;E263;263;https://scholarlycommons.pacific.edu/euler-works/263
Demonstratio theorematis et solutio problematis in actis erud. Lipsiensibus propositorum;Proof of a theorem and solution of a theorem proposed in the Acta Eruditorum of Leipzig;264;348;Latin;1755;1755;1755;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;7;128-162;1;20;201;234;E264;264;https://scholarlycommons.pacific.edu/euler-works/264
De aequationibus differentialibus secundi gradus;On differential equations of the second degree;265;257;Latin;1756;1756;1756;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;7;163-202;1;22;295;333;E265;265;https://scholarlycommons.pacific.edu/euler-works/265
Constructio lentium obiectivarum ex duplici vitro quae neque confusionem a figura sphaerica oriundam neque dispersionem colorum pariant;A construction of objective lenses from two glasses which produces neither confusion of a spherical figure nor gives rise to the dispersion of colors;266;701;Latin;1761;1761;1761;quarto;book;St. Petersburg: Imperial Academy of Sciences;1762;;3;6;115;139;E266;266;https://scholarlycommons.pacific.edu/euler-works/266
Extrait d'une lettre de M. Euler, Écrite à M. du Hamel le 3 Février 1756;Extract of a letter of Mr. Euler written to Mr. du Hamel, 3 February 1756;267;713;French;1756;1756;1756;published;letter;Mémoires de l'académie royale des sciences de Paris;1756;214-216;3;6;170;171;E267;267;https://scholarlycommons.pacific.edu/euler-works/267
Lettre de M. Euler à M. de la Grange;Letter of Mr. Euler to Mr. de la Grange;268;507;French;1760;1760;1760;published;letter;Mélanges de philosophie et de la mathématique de la société royale de Turin;2;1-10;2;10;255;263;E268;268;https://scholarlycommons.pacific.edu/euler-works/268
De integratione aequationum differentialium;On the integration of differential equations;269;254;Latin;1755;1755;1755;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;3-63;1;22;334;394;E269;269;https://scholarlycommons.pacific.edu/euler-works/269
Solutio problematis de investigatione trium numerorum, quorum tam summa quam productum nec non summa productorum ex binis sint numeri quadrati;The solution of a problem about searching for three numbers, of which the sum and not only their product but the sum of their products two apiece, are square numbers;270;61;Latin;1755;1755;1755;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;64-73;1;2;519;530;E270;270;https://scholarlycommons.pacific.edu/euler-works/270
Theoremata arithmetica nova methodo demonstrata;Demonstration of a new method in the theory of arithmetic;271;27;Latin;1758;1758;1758;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;74-104;1;2;531;555;E271;271;https://scholarlycommons.pacific.edu/euler-works/271
Supplementum quorundam theorematum arithmeticorum, quae in nonnullis demonstrationibus supponuntur;A reinforcement of some arithmetic theorems, supported by several demonstrations;272;28;Latin;1759;1759;1759;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;105-128;1;2;556;575;E272;272;https://scholarlycommons.pacific.edu/euler-works/272
Consideratio formularum, quarum integratio per arcus sectionum conicarum absolvi potest;Consideration of formulas, of which the integral can be obtained by sections of arcs of cones;273;206;Latin;1760;1760;1760;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;129-149;1;20;235;255;E273;273;https://scholarlycommons.pacific.edu/euler-works/273
Constructio aequationis differentio-differentialis <em>Ay du</em><sup>2</sup> + (<em>B</em>+<em>Cu</em>)<em>du dy</em> + (<em>D</em>+<em>Eu</em>+<em>Fuu</em>)<em>ddy</em> = 0, sumto elemento <em>du</em> constante;Construction of the differential equation <em>Ay du</em><sup>2</sup> + (<em>B</em>+<em>Cu</em>)<em>du dy</em> + (<em>D</em>+<em>Eu</em>+<em>Fuu</em>)<em>ddy</em> = 0, assuming the element <em>du</em> to be constant;274;276;Latin;1758;1758;1758;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;150-156;1;22;395;402;E274;274;https://scholarlycommons.pacific.edu/euler-works/274
Annotationes in locum quendam Cartesii ad circuli quadraturam spectantem;Annotations to a certain passage of Descartes for finding the quadrature of the circle;275;315;Latin;1758;1758;1758;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;157-168;1;15;1;15;E275;275;https://scholarlycommons.pacific.edu/euler-works/275
Dilucidationes de resistentia fluidorum;Clarifications into fluid resistance;276;576;Latin;1756;1756;1756;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;197-229;2;12;215;243;E276;276;https://scholarlycommons.pacific.edu/euler-works/276
Principia theoriae machinarum;Principal theory of machines;277;558;Latin;1756;1756;1756;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;230-253;2;17;136;153;E277;277;https://scholarlycommons.pacific.edu/euler-works/277
De motu et attrutu lentium dum super catinis poliuntur;On the motion and grinding of lenses while they are polished upon curved plates;278;699;Latin;1757;1757;1757;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;8;254-270;2;17;154;169;E278;278;https://scholarlycommons.pacific.edu/euler-works/278
De resolutione formularum quadricarum indeterminatarum per numeros integros;On the resolution of formulas of squares of indeterminates by integral numbers;279;62;Latin;1758;1758;1758;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;3-39;1;2;576;611;E279;279;https://scholarlycommons.pacific.edu/euler-works/279
De progressionibus arcuum circularium, quorum tangentes secundum certam legem procedunt;On progressions of arcs of circles, of which the accompanying tangents proceed by a certain law;280;147;Latin;1758;1758;1758;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;40-52;1;15;16;30;E280;280;https://scholarlycommons.pacific.edu/euler-works/280
Specimen algorithmi singularis;A specimen of a singular algorithm;281;92;Latin;1757;1757;1757;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;53-69;1;15;31;49;E281;281;https://scholarlycommons.pacific.edu/euler-works/281
De resolutione aequationum cuiusvis gradus;On the resolution of equations of any order;282;114;Latin;1753;1753;1753;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;70-98;1;6;170;196;E282;282;https://scholarlycommons.pacific.edu/euler-works/282
De numeris primis valde magnis;On very large prime numbers;283;25;Latin;1760;1760;1760;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;99-153;1;3;1;45;E283;283;https://scholarlycommons.pacific.edu/euler-works/283
De resolutione aequationis <em>dy</em> + <em>ayy dx</em> = <em>bx</em><sup><em>m</em></sup> <em>dx</em>;On the resolution of the equation <em>dy</em> + <em>ayy dx</em> = <em>bx</em><sup><em>m</em></sup> <em>dx</em>;284;268;Latin;1742;1742;1742;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;154-169;1;22;403;420;E284;284;https://scholarlycommons.pacific.edu/euler-works/284
Investigatio functionum ex data differentialium conditione;Investigation of functions from a given condition of differentials;285;279;Latin;1759;1759;1759;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;170-212;1;23;1;41;E285;285;https://scholarlycommons.pacific.edu/euler-works/285
De motu vibratorio fili flexilis, corpusculis quotcunque onusti;On the vibrating motion of a flexible wire, weighted with however many small particles;286;523;Latin;1759;1759;1759;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;215-245;2;10;264;292;E286;286;https://scholarlycommons.pacific.edu/euler-works/286
De motu vibratorio cordarum inaequaliter crassarum;On the vibrating motion of unevenly thick strings;287;516;Latin;1760;1760;1760;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;246-304;2;10;293;343;E287;287;https://scholarlycommons.pacific.edu/euler-works/287
Cogitationes de aggeribus construendis;Thoughts on constructing ramparts/walls;288;592;Latin;1759;1759;1759;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;9;352-378;2;17;170;195;E288;288;https://scholarlycommons.pacific.edu/euler-works/288
Theoria motus corporum solidorum seu rigidorum;Theory of the motion of solid or rigid bodies;289;442;Latin;1760;1760;1760;quarto;book;A. F. Röse;1765;1-520;2;3-4;;;E289;289;https://scholarlycommons.pacific.edu/euler-works/289
Geometria dalya ipotrevleniya v academycheskoi gymnazii [russian];Geometry for use at an academic gymnasium;290;;Russian;1765;1765;1765;octavo;book;St. Petersburg;1765;;;;;;E290;290;https://scholarlycommons.pacific.edu/euler-works/290
Recherches sur la connoissance mécanique des corps;Research into the mechanical science of bodies;291;440;French;1758;1758;1758;journal;article;Mémoires de l'académie des sciences de Berlin;14;131-153;2;8;178;199;E291;291;https://scholarlycommons.pacific.edu/euler-works/291
Du mouvement de rotation des corps solides autour d'un axe variable;On the rotational motion of solid bodies around a variable axis;292;477;French;1751;1751;1751;journal;article;Mémoires de l'académie des sciences de Berlin;14;154-193;2;8;200;235;E292;292;https://scholarlycommons.pacific.edu/euler-works/292
Remarques générales sur le mouvement diurne des planètes;General remarks on the daily motion of the planets;293;618;French;1758;1758;1758;journal;article;Mémoires de l'académie des sciences de Berlin;14;194-218;2;29;199;219;E293;293;https://scholarlycommons.pacific.edu/euler-works/293
Remarques de M. Euler sur quelques passages qui se trouvent dans le troisieme volume des Opuscules Mathématiques de M. d'Alembert;Remarks by Mr. Euler on several passages which appeared in the third volume of the Opuscules Mathématiques by Mr. d'Alembert;294;;French;1765;1765;1765;journal;article;Journal encyclopedique;2;114-127;3;6;172;178;E294;294;https://scholarlycommons.pacific.edu/euler-works/294
De reductione formularum integralium ad rectificationem ellipsis ac hyperbolae;On the reduction of integral formulas for the rectification of the ellipse and hyperbola;295;207;Latin;1759;1759;1759;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;3-50;1;20;256;301;E295;295;https://scholarlycommons.pacific.edu/euler-works/295
Elementa calculi variationum;The Elements of the Calculus of Variations;296;289;Latin;1756;1756;1756;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;51-93;1;25;141;176;E296;296;https://scholarlycommons.pacific.edu/euler-works/296
Analytica explicatio methodi maximorum et minimorum;Explanation of the analytical method in the maxima and minima;297;197;Latin;1756;1756;1756;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;94-134;1;25;177;207;E297;297;https://scholarlycommons.pacific.edu/euler-works/297
De insigni promotione methodi tangentium inversae;On the notable advancement of the inverse method of tangents;298;410;Latin;1761;1761;1761;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;135-155;1;27;365;383;E298;298;https://scholarlycommons.pacific.edu/euler-works/298
Dilucidationes de tautochronis in medio resistente;Explanation of the tautochrone in a resistant medium;299;373;Latin;1761;1761;1761;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;156-178;2;6;189;208;E299;299;https://scholarlycommons.pacific.edu/euler-works/299
Demonstratio theorematis Bernoulliani quod ex evolutione curvae cuiuscinque rectangulae in infinitum continuata tandem cycloides naxcantur;Demonstration of a Bernoullian theorem in which cycloids are ultimately produced from the evolution, continued to infinity, of any right-angled curve;300;366;Latin;1761;1761;1761;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;179-198;1;27;384;400;E300;300;https://scholarlycommons.pacific.edu/euler-works/300
De motu corporis ad duo centra virium fixa attracti;On the motion of bodies around two fixed points of attraction;301;538;Latin;1759;1759;1759;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;207-242;2;6;209;246;E301;301;https://scholarlycommons.pacific.edu/euler-works/301
De motu vibratorio tympanorum;On the motion of vibrations in drums;302;527;Latin;1761;1761;1761;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;243-260;2;10;344;358;E302;302;https://scholarlycommons.pacific.edu/euler-works/302
Tentamen de sono campanarum;An effort on the sound of bells;303;528;Latin;1760;1760;1760;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;261-281;2;10;359;376;E303;303;https://scholarlycommons.pacific.edu/euler-works/303
Considerationes de motu corporum coelestium;Considerations on the motion of celestial bodies;304;607;Latin;1762;1762;1762;journal;article;Novi Commentarii academiae scientiarum Petropolitanae;10;544-558;2;25;246;257;E304;304;https://scholarlycommons.pacific.edu/euler-works/304
De la propagation du son;On the propagation of sound;305;503;French;1759;1759;1759;journal;article;Mémoires de l'académie des sciences de Berlin;15;185-209;3;1;428;451;E305;305;https://scholarlycommons.pacific.edu/euler-works/305
Supplément aux recherches sur la propagation du son;Supplement to the research on the propagation of sound;306;504;French;1759;1759;1759;journal;article;Mémoires de l'académie des sciences de Berlin;15;452-483;3;1;452;483;E306;306;https://scholarlycommons.pacific.edu/euler-works/306
Continuation des recherches sur la propatation du son;Continuation of the research on the propagation of sound;307;505;French;1759;1759;1759;journal;article;Mémoires de l'académie des sciences de Berlin;15;241-264;3;1;484;507;E307;307;https://scholarlycommons.pacific.edu/euler-works/307
Recherches sur le mouvement de rotation des corps célestes;Research on the rotational motion of celestial bodies;308;606;French;1759;1759;1759;journal;article;Mémoires de l'académie des sciences de Berlin;15;265-309;2;29;220;255;E308;308;https://scholarlycommons.pacific.edu/euler-works/308
Solution d'une question curieuse que ne paroit soumise à aucune analyse;Solution of a curious question which does not seem to have been subjected to any analysis;309;84;French;1758;1758;1758;journal;article;Mémoires de l'académie des sciences de Berlin;15;310-337;1;7;26;56;E309;309;https://scholarlycommons.pacific.edu/euler-works/309
Nouvelle méthode d'éliminer les quantités inconnues des équations;New method to eliminate the — quantities in equations;310;106;French;1752;1752;1752;journal;article;Mémoires de l'académie des sciences de Berlin;20;91-104;1;6;197;211;E310;310;https://scholarlycommons.pacific.edu/euler-works/310
Recherches sur les microscopes simples et les moyens de les perfectionner;Research on simple microscopes and the methods to perfect them;311;725;French;1761;1761;1761;journal;article;Mémoires de l'académie des sciences de Berlin;20;105-116;3;6;202;211;E311;311;https://scholarlycommons.pacific.edu/euler-works/311
Recherches sur les microscopes à trois verres et les moyens de les perfectionner;Research on microscopes with three lenses and the methods to perfect them;312;726;French;1762;1762;1762;journal;article;Mémoires de l'académie des sciences de Berlin;20;117-143;3;6;212;233;E312;312;https://scholarlycommons.pacific.edu/euler-works/312
Sur l'avantage du banquier au jeu de Pharaon;On the advantage to the banker in the game of Pharaon;313;298;French;1755;1755;1755;journal;article;Mémoires de l'académie des sciences de Berlin;20;144-164;1;7;57;78;E313;313;https://scholarlycommons.pacific.edu/euler-works/313
Conjecture sur la raison de quelques dissonances généralement reçues dans la musique;Conjecture on the reason for several dissonances that are generally heard in music;314;530;French;1760;1760;1760;journal;article;Mémoires de l'académie des sciences de Berlin;20;165-173;3;1;508;515;E314;314;https://scholarlycommons.pacific.edu/euler-works/314
Du véritable caractère de la musique moderne;On the true character of modern music;315;531;French;1764;1764;1764;journal;article;Mémoires de l'académie des sciences de Berlin;20;174-199;3;1;516;539;E315;315;https://scholarlycommons.pacific.edu/euler-works/315
Des lunettes à trois verres qui représentent les objets debout;On glasses with three lenses which represent standing objects;316;708;French;1758;1758;1758;journal;article;Mémoires de l'académie des sciences de Berlin;20;200-239;3;6;234;269;E316;316;https://scholarlycommons.pacific.edu/euler-works/316
Éclaircissemens sur le mouvement des cordes vibrantes;Clarifications on the motion of vibrating strings;317;511;French;1765;1765;1765;journal;article;Melanges de philosophie et de la mathematique de la societe royale de Turin;3;1-26;2;10;377;396;E317;317;https://scholarlycommons.pacific.edu/euler-works/317
Recherches sur le mouvement des cordes inégalement grosses;Research on the motion of unequally thick strings;318;517;French;1765;1765;1765;journal;article;Melanges de philosophie et de la mathematique de la societe royale de Turin;3;27-59;2;10;397;425;E318;318;https://scholarlycommons.pacific.edu/euler-works/318
Recherches sur l'intégration de l'équation (<em>ddz</em>/<em>dt</em><sup>2</sup>) = <em>aa</em>∙(<em>ddz</em>/<em>dx</em><sup>2</sup>)+<em>b</em>/<em>x</em>∙(<em>dz</em>/<em>dx</em>) + <em>c</em>/(<em>xx</em>)∙<em>z</em>;Research on the integration of the equation (<em>ddz</em>/<em>dt</em><sup>2</sup>) = <em>aa</em>∙(<em>ddz</em>/<em>dx</em><sup>2</sup>)+<em>b</em>/<em>x</em>∙(<em>dz</em>/<em>dx</em>) + <em>c</em>/(<em>xx</em>)∙<em>z</em>;319;277;French;1765;1765;1765;journal;article;Melanges de philosophie et de la mathematique de la societe royale de Turin;3;60-91;1;23;42;73;E319;319;https://scholarlycommons.pacific.edu/euler-works/319
