vol;isbn;reference;title;page;year
I.19;3-7643-1419-2;Commentationes analyticae ad theoriam integralium  pertinentes. Volumen tertium.  Ediderunt Alexander Liapounoff, Adolf Krazer,   Georg Faber   (In Latin);E.656, E.657, E.662, E.668, E.669, E.670, E.671, E.672, E.673,  E.674, E.675, E.688, E.689, E.690, E.694, E.695, E.701, E.707,  E.721, E.752, E.807, E.816, E.819f,  P.121, P.122, I.107;LXVIII, 494;1932  [1997]
I.20;3-7643-1420-6;Commentationes analyticae ad theoriam integralium  ellipticorum pertinentes. Volumen prius  Edidit Adolf Krazer  (In Latin);E.028, E.028a, E.052, E.154, E.211, E.251, E.252, E.263, E.261,  E.264, E.273, E.295, E.345, E.347, E.448,  P.123;XII, 371;1912  [1978]
I.21;3-7643-1421-4;Commentationes analyticae ad theoriam integralium  ellipticorum pertinentes. Volumen posterius  Edidit Adolf Krazer  (In Latin);E.506, E.581, E.582, E.590, E.605, E.624, E.633, E.638, E.639,  E.645, E.676, E.714, E.780, E.781, E.782, E.783, E.817, E.818,  E.819b, E*1913,   I.108;XI, 380;1913  [1980]
I.22;3-7643-1422-2;Commentationes analyticae ad theoriam aequationum  differentialium pertinentes. Volumen prius.  Edidit Henri Dulac   (In Latin);E.010, E.011, E.031, E.044, E.045, E.048, E.051, E.062, E.070,  E.095, E.188, E.236, E.245, E.265, E.269, E.274, E.284,  P.124;XVI, 420;1936
I.23;3-7643-1423-0;Commentationes analyticae ad theoriam aequationum  differentialium pertinentes. Volumen posterius.  Edidit Henri Dulac   (23 contributions in Latin, 3 in French);E.285, E.319, E.322, E.429, E.430, E.431, E.595, E.622, E.650,  E.677, E.678, E.679, E.680, E.681, E.687, E.700, E.720, E.724,  E.734, E.737, E.741, E.751, E.779, E.784, E.785, E.856,  I.109;XI, 455;1938
I.24;3-7643-1424-9;Methodus inveniendi lineas curvas maximi minimive  proprietate gaudentes sive solutio problematis isoperimetrici  latissimo sensu accepti.  Edidit Constantin Carathéodory   (In Latin);E.065  P.125, P.126;LXIII, 308;1952
I.25;3-7643-1425-7;Commentationes analyticae ad calculum variationum  pertinentes.  Edidit Constantin Carathéodory   (19 contributions in Latin, 1 in Germans);E.009, E.027, E.042, E.056, E.084, E.099, E.250, E.296, E.297,  E.420, E.444, E.501, E.727, E.731, E.735, E.740, E.759, E.760,  E.761, A.10,  P.127, I.110;XXVIII, 343;1952
I.26;3-7643-1426-5;Commentationes geometricae. Volumen primum.  Edidit Andreas Speiser   (21 contributions in Latin, 2 in French and 1 in German);E.073, E.135, E.147, E.148, E.192, E.230, E.231, E.324, E.325,  E.505, E.514, E.524, E.543, E.573, E.601, E.648, E.693, E.729,  E.730, E.733, E.749, E.819c, A.23  P.128, P.129, X.108;XXXVIII,  362;1953
I.27;3-7643-1427-3;Commentationes geometricae. Volumen secundum.  Edidit Andreas Speiser   (14 contributions in Latin, 5 in French);E.003, E.005, E.023, E.075, E.079, E.083, E.085, E.106, E.129,  E.133, E.166, E.169, E.173, E.214, E.215, E.220, E.224, E.298,  E.300,  P.130;XLVIII, 400;1954
I.28;3-7643-1428-1;Commentationes geometricae. Volumen tertium.  Edidit Andreas Speiser   (16 contributions in Latin, 1 in French);E.333, E.346, E.368, E.390, E.392, E.408, E.419, E.422, E.423,  E.433, E.490, E.491, E.492, E.513, E.563, E.574, E.602,  P.131;XLVI, 381;1955
I.29;3-7643-1429-X;Commentationes geometricae. Volumen quartum.  Edidit Andreas Speiser   (In Latin);E.604, E.609, E.611, E.623, E.646, E.647, E.654, E.665, E.666,  E.667, E.691, E.692, E.697, E.698, E.712, E.757, E.767, E.771,  E.814, E.815, E.819a, E.819g,   P.132, I.111;XLIV, 448;1956
